Gene	WT-1_Read_Count	WT-2_Read_Count	Toluene-1_Read_Count	Toluene-2_Read_Count
BANF1	26	0	0	0
BANK1	4	0	0	0
BASP1	3	0	0	0
BAT2	11	1	0	0
BAX	27	1	4	1
BAZ2A	2	0	0	0
BBC3	1	0	0	0
BBIP1	14	0	0	0
BC026782	10	0	0	0
BCAM	7	0	0	0
BCAN	0	4	0	0
BCAP29	10	0	0	0
BCAP31	32	1	0	0
BCAR1	2	0	0	0
BCAS1	12	0	0	0
BCAT2	8	0	0	0
BCKDK	3	0	0	0
BCL2-related	8	0	0	0
BCL2L1	0	0	0	0
BCL2L12	3	0	0	1
BCL2L2-PABPN1	13	0	0	0
BCL3	11	0	0	0
BCL7B	9	0	0	0
BCL7C	21	0	3	0
BCMA	9	0	1	0
BDH1	16	0	0	0
BEL2	2	5	0	2
BET1L	3	0	0	0
BEX3	4	0	0	0
BEX4	5	0	0	0
BG1	6	8	0	8
BGAL2	27	26	3	9
BGAL3	1006	1284	550	868
BICDL2	10	0	0	0
BID	3	3	0	0
BIN2	3	0	0	0
BIVM-ERCC5	11	0	0	0
BLNK	3	0	0	0
BLOC1S1	32	0	0	0
BLR1	5	0	0	0
BLVRB	10	0	0	0
BMP1	3	0	0	0
BNAC03G00470D	214	313	192	314
BNIP1	3	0	0	0
BOP1	3	0	0	0
BORCS8-MEF2B	7	0	0	0
BR6OX1	55	84	76	134
BRCA1	0	0	0	0
BRD7	9	2	0	0
BRF1	12	0	0	0
BRICD5	5	0	0	0
BRLZ	6	0	0	0
BRMS1	14	0	0	0
BSCL2	7	0	0	0
BST2	0	0	1	2
BTBD1	19	0	0	0
BTBD2	5	0	0	0
BTBD6	12	0	0	2
BTF3	44	1	0	0
BTG2	29	0	0	0
BTU02	1	3	3	1
BTU03	1	5	0	0
BTU06	0	3	0	1
BUD31	11	0	0	0
BZW1	17	0	0	0
BZW2	8	0	0	0
Babam1	1	1	0	0
Bcl2l1	0	1	0	0
Bdh1	3	0	2	1
Becn1	1	0	0	0
Bhmt2	0	2	0	0
Bmp1	1	0	0	0
Bsg	1	3	0	0
Bst2	3	0	5	1
Btub	2	3	0	2
Bv8-6	11	15	15	16
C	0	0	2	0
C10H10orf99	7	0	0	0
C10orf128	3	0	0	0
C10orf99	24	0	0	0
C11orf1	2	0	0	0
C11orf24	12	0	0	0
C11orf49	9	0	0	0
C11orf58	1	0	0	0
C11orf68	8	0	0	0
C11orf96	3	0	0	0
C11orf98	15	0	0	1
C12H12orf10	5	0	0	0
C12H12orf45	5	0	0	0
C12orf57	36	0	0	0
C15orf39	3	0	0	0
C15orf48	87	1	0	0
C16orf58	4	0	0	0
C16orf62	6	0	0	0
C17orf62	15	0	3	0
C19H19orf66	6	0	0	0
C19orf24	19	2	0	0
C19orf33	33	0	0	0
C19orf48	9	0	0	2
C19orf53	11	0	0	0
C19orf70	23	0	3	0
C1QB	26	0	0	0
C1QBP	11	1	1	0
C1QC	8	0	0	0
C1R	18	1	1	0
C1S	8	0	0	1
C1orf106	18	0	0	0
C1orf198	5	1	0	0
C1orf43	13	0	0	0
C1orf53	3	0	0	0
C1ra	5	4	3	0
C1rl	2	0	0	0
C1s1	5	2	0	0
C1sa	1	1	1	0
C20H20orf27	1	0	0	0
C20orf27	7	0	0	0
C21orf2	1	0	0	0
C22H22orf39	0	0	0	0
C2CD2L	2	0	0	0
C2orf72	4	0	0	0
C3	181	50	75	15
C4Ha	1185	1464	1426	2307
C4b	80	12	38	11
C4bp	0	0	0	2
C4orf19	6	0	0	0
C4orf3	7	1	0	0
C6	0	0	3	0
C6orf106	12	3	0	0
C77080	0	0	2	0
C7orf26	3	0	0	0
C7orf50	14	0	0	0
C8H8orf59	7	0	0	0
C8a	2	0	0	1
C8b	2	3	0	1
C8g	1	0	4	3
C9	12	2	12	0
C9orf114	3	0	0	0
C9orf152	6	0	0	0
C9orf16	11	0	0	0
C9orf3	3	0	0	0
CA1	58	0	0	0
CA12	29	0	0	0
CA2	18	0	2	1
CA4	23	5	0	0
CA7	5	0	0	0
CAB1	240	300	136	184
CAB2	4	0	4	1
CABIN1	2	0	0	0
CAC	1430	1728	1448	1824
CACFD1	17	0	0	0
CACNB2	5	0	0	0
CACUL1	7	0	0	0
CAL1	7	6	13	16
CALCOCO2	9	0	0	0
CALM1	21	3	1	0
CALM2	10	0	2	0
CALM3	14	0	0	2
CALML4	30	0	0	2
CALR	84	1	0	3
CALS10	1540	1838	1359	2250
CAM	1	0	1	1
CAMK2N1	20	0	0	0
CAMKK2	6	0	0	0
CAND1	10	0	0	0
CANT1	25	0	1	0
CANX	13	0	0	0
CAP1	18	0	0	0
CAPG	33	0	0	0
CAPN1	5	0	0	0
CAPN2	41	0	0	0
CAPN5	36	0	0	0
CAPN8	6	0	0	0
CAPZB	33	0	2	0
CARD16	4	0	0	0
CARS2	10	0	0	0
CAS	985	1274	1176	1710
CASC3	2	0	0	0
CASP1	2	0	0	0
CAT	1051	1195	612	762
CBF1	644	871	94	109
CBL04	139	213	169	202
CBL06	321	341	339	530
CBLC	7	0	0	0
CBWD5	6	0	0	0
CBX3	8	0	0	0
CBX5	3	0	0	0
CC2D1A	15	0	0	0
CC2D1B	8	0	0	0
CCAR2	0	0	0	0
CCDC115	8	0	0	0
CCDC12	4	0	0	0
CCDC124	27	0	0	0
CCDC137	8	0	0	0
CCDC14	5	0	0	0
CCDC159	8	0	0	0
CCDC24	15	0	0	0
CCDC47	2	2	0	0
CCDC61	5	0	0	0
CCDC88C	5	0	0	0
CCDs	14828	19823	12247	18802
CCH	37	37	161	130
CCHCR1	3	1	0	0
CCL11	6	0	0	0
CCL15	8	0	0	0
CCL2	4	0	0	0
CCL21	8	0	0	0
CCL4L1	2	0	0	0
CCND1	12	0	0	0
CCND2	2	0	0	0
CCNI	13	0	0	0
CCNL2	12	0	0	0
CCNT1	5	0	0	0
CCR	1768	2136	2407	3080
CCRL2	4	0	0	0
CCS	1795	2151	2177	2803
CCT4	13	0	0	0
CCT8	7	0	0	0
CD151	19	3	0	0
CD163L1	2	0	0	0
CD164	3	0	0	1
CD177	31	0	0	0
CD24	110	0	1	0
CD320	11	0	0	0
CD44	13	0	4	0
CD47	3	0	0	2
CD55	11	0	0	0
CD59	33	0	0	0
CD63	182	1	6	2
CD73	5	0	0	0
CD74	175	10	4	0
CD79A	4	0	0	0
CD81	43	0	0	0
CD9	13	0	0	3
CD99	39	1	0	0
CDC25B	16	0	0	0
CDC2L2	2	0	0	0
CDC34	12	0	0	0
CDC37	79	4	1	0
CDC40	8	0	0	0
CDC42	22	0	0	0
CDC42BPB	4	0	0	0
CDC42EP1	7	0	0	0
CDC42EP5	29	0	0	0
CDC42SE1	3	0	0	0
CDC42SE2	1	0	0	0
CDC48	2662	3023	1935	2676
CDH1	40	0	0	0
CDH17	36	0	0	0
CDH23	10	3	0	0
CDHR1	6	0	0	0
CDHR5	57	0	0	0
CDK10	23	0	0	0
CDK11A	5	0	0	0
CDK11B	3	0	0	0
CDK16	6	0	0	0
CDK19	5	0	0	0
CDK2AP2	11	0	0	0
CDK4	14	0	0	0
CDK5RAP3	28	0	0	0
CDK6	5	0	0	0
CDK7	303	351	208	334
CDKN1A	56	2	3	0
CDKN2B	1	0	0	0
CDPK16	1010	1224	522	771
CDPK2	1226	1554	805	1355
CDPK26	1601	1946	1115	1535
CDPK28	2943	3139	687	1047
CDPK29	141	153	43	65
CDPK3	749	911	690	884
CDPK32	1540	2049	1061	1702
CDPK4	1437	1685	141	313
CDPK8	2675	3321	1598	2543
CDPK9	2676	3185	2123	2807
CDT1	10	0	0	0
CDV3	5	0	0	0
CDX1	41	0	1	6
CDX2	29	0	0	0
CEACAM1	16	0	1	0
CEACAM5	65	3	0	2
CEACAM6	20	0	1	0
CEACAM7	16	1	0	0
CECR1	3	0	0	0
CENPT	8	0	0	0
CENPX	18	0	0	1
CEP170B	10	0	0	0
CEP290	4	0	0	0
CEP95	4	0	0	0
CERK	17	0	0	0
CERS2	9	0	0	0
CES2	81	1	1	0
CES3	13	0	0	0
CESA4	107	136	26	82
CFD	2	0	0	0
CFDP1	11	0	0	0
CFI	4	0	0	0
CFTR	14	0	0	0
CHCHD1	6	0	0	0
CHCHD10	46	0	0	0
CHCHD5	7	0	0	0
CHD1L	3	0	0	0
CHD3	1	0	0	0
CHD4	7	0	0	0
CHI1	3	0	1155	1798
CHI3L1	0	10	1	0
CHIT1	3255	4294	4053	5804
CHId	5	1	1	1
CHKB	12	0	0	0
CHMP1A	2	0	0	0
CHMP2A	73	0	0	0
CHMP4B	24	0	0	0
CHP1	15	0	0	0
CHP2	6	0	0	0
CHPF	7	0	0	0
CHPF2	4	1	0	0
CHS	4329	4862	4136	5896
CHS3	0	0	0	0
CHTOP	4	0	0	1
CIAO1	6	0	0	0
CIB1	80	0	0	3
CIB2	6	0	0	0
CIC	4	0	0	0
CINP	1	0	0	0
CIP1	3813	4735	2044	2533
CIPK	2238	2959	2051	3492
CIPK04	582	846	1064	1430
CIPK17	512	612	525	671
CIPK19	794	993	653	807
CIRBP	48	0	0	0
CISD1	8	0	0	0
CISD3	25	0	0	0
CKAP4	19	0	0	0
CKD1	30	58	87	100
CKM	14	16	11	7
CKMT1B	4	0	0	0
CKX4	1	6	0	2
CLCA1	61	5	1	2
CLCA4	4	0	0	0
CLCN2	1	0	0	0
CLDN3	61	0	0	0
CLDN4	101	0	5	2
CLDN7	123	4	2	1
CLE	29	39	26	39
CLEC11A	4	0	1	0
CLG4A	13	0	0	0
CLK2	8	0	0	0
CLN3	21	0	0	0
CLN6	12	0	0	1
CLPTM1L	8	0	2	0
CLTA	39	0	1	1
CLTB	78	2	0	0
CLTC	24	0	0	0
CLU	24	7	0	1
CLUH	4	0	0	0
CLYBL	2	0	0	0
CMC2	5	0	0	0
CMPK1	16	0	0	0
CMT3	56	63	80	83
CMTM4	3	0	0	0
CNBE0520	0	0	0	3
CNBK1580	9	5	2	4
CNBP	18	3	5	0
CNDP2	4	0	0	0
CNN1	17	0	0	0
CNN3	7	0	0	0
CNOT1	10	0	0	0
CNOT10	1	0	0	0
CNOT11	6	0	0	0
CNOT6L	3	0	0	0
CNOT9	3	0	0	0
CNP	1	3	0	0
CNPPD1	7	0	0	1
CNPY2	8	0	0	0
CNPY3	3	0	0	0
COA3	21	0	0	0
COA4	2	0	0	0
COASY	7	0	0	0
COG2	3	0	0	0
COI	2	2	70	47
COI1	1342	1555	961	1425
COI1b	2569	2960	2340	3588
COII	0	0	19	8
COL16A1	4	0	0	0
COL17A1	20	0	0	1
COL1A1	15	0	3	0
COL1A2	5	0	0	0
COL3A1	41	0	1	0
COL4A1	2	0	0	0
COL5A2	2	0	0	0
COL6A1	17	1	0	0
COL6A2	67	0	0	1
COL6A3	5	0	0	0
COL7A1	7	0	0	0
COL9A2	8	0	0	0
COMMD4	10	0	0	0
COMMD5	4	0	0	0
COMMD6	20	0	0	0
COMMD7	7	0	2	1
COMMD9	3	0	0	0
COMT	13	0	0	0
COMTD1	13	0	0	0
COPA	0	0	0	0
COPB2	8	0	0	0
COPS3	10	0	0	0
COPS6	25	0	0	0
COPZ1	19	0	0	0
COQ4	27	0	0	0
COQ9	4	0	0	0
CORO1A	13	0	0	0
CORO1B	9	0	0	0
CORO7	4	0	0	0
COX14	7	0	0	0
COX20	3	0	0	0
COX5A	78	0	0	0
COX5B	117	0	4	0
COX6A1	105	0	0	1
COX6C	59	0	0	0
COX7B	43	0	0	0
COX8A	80	0	0	0
CPA3	13	0	0	0
CPB	0	0	2	0
CPNE2	1	0	2	0
CPR	2757	3305	2556	4439
CPSF1	14	0	0	0
CPSF3	9	0	0	0
CPSF3L	3	0	0	0
CPSF4	4	0	0	0
CPT1C	3	0	0	0
CPTP	1	0	0	0
CPVL	4	0	0	0
CRACR2B	19	0	0	0
CREB3L1	5	0	0	0
CREBBP	4	0	0	0
CRELD2	2	0	0	0
CRP	33	0	0	0
CRP1	4346	5355	5439	5807
CRTC1	5	0	0	0
CRY2	3	0	0	0
CRYAB	3	2	0	0
CRYGS	4	0	1	0
CRYZL2P	5	0	0	0
CS1	1006	1194	1220	1491
CSD1a	8325	10963	13845	14158
CSD1b	3682	4196	4324	4768
CSDE1	8	0	0	0
CSE1L	3	0	0	0
CSK	1	0	0	0
CSNK1A1	3	0	0	1
CSNK1D	11	0	0	0
CSNK1G2	6	0	0	0
CSRP1	2	0	0	0
CST3	195	8	1	0
CSTB	7	2	0	1
CTBP1	15	0	0	0
CTDNEP1	15	0	0	0
CTDSP1	25	0	0	0
CTDSP2	6	0	0	0
CTDSPL	13	0	0	0
CTGF	11	0	0	0
CTIF	4	0	0	0
CTNNA1	8	0	0	0
CTNNB1	10	0	0	0
CTNNBL1	8	0	0	0
CTR2	574	727	394	623
CTR3	48	32	29	59
CTSA	66	1	0	0
CTSC	16	0	0	0
CTSD	3	0	0	0
CTSH	2	4	0	0
CTSL	2	0	0	0
CTSS	19	0	1	0
CTSZ	65	0	0	2
CTTN	20	0	0	0
CUEDC2	5	0	0	0
CUL9	2	0	0	0
CUNH1orf21	4	0	0	0
CUTA	31	0	0	0
CUX1	1	0	0	0
CWF19L2	4	0	0	0
CXADR	2	0	0	0
CXCL1	5	2	0	0
CXCL14	38	0	0	0
CXCL16	3	0	0	0
CXE4	739	938	1258	1403
CXE9	252	347	104	231
CYB561	19	0	0	0
CYB561A3	8	0	0	4
CYB5B	1	0	0	0
CYB5R3	8	0	0	0
CYBA	105	0	3	0
CYC1	56	3	0	0
CYC2	3	2	4	0
CYCS	4	0	0	0
CYFIP2	7	0	0	0
CYHR1	3	0	0	0
CYP	2467	3071	2125	2410
CYP23	2	0	8	8
CYP2J2	2	0	0	0
CYP3	2856	3337	3103	2898
CYP3A5	14	0	0	0
CYP4F12	11	0	0	0
CYP4G68	0	0	7	1
CYP51A1	5	0	0	0
CYP6CX2	0	0	9	9
CYP6CX4	0	0	3	4
CYP6DW3	0	0	7	1
CYP6DZ6	0	0	0	4
CYP707A-1	1452	1849	104	185
CYP707A-4	46	50	63	133
CYSTM1	15	0	0	0
CaS	3816	4313	2908	3980
Calm1	0	0	1	0
Calr	9	6	2	1
Capns1	0	0	0	1
Cbr-pab-1	0	0	2	1
Ccni	0	0	2	0
Cd1d1	2	0	0	0
Cd82	0	0	0	0
Cdk4	0	0	0	2
Cdk5rap3	2	0	0	1
Cdo1	43	11	21	3
Cebpa	16	8	3	0
Cebpb	5	0	1	0
Cep85	5	0	0	0
Cers2	1	0	2	3
Ces1c	62	18	30	9
Ces1d	2	0	0	4
Ces1f	2	0	0	1
Ces2a	0	1	0	0
Ces2e	1	0	6	0
CesA1	25	26	25	35
CesA7	1437	1643	1107	1965
Cfb	15	6	12	2
Cfh	1	3	0	0
Cfi	11	4	3	1
Chchd10	25	2	5	3
Chchd2	7	2	0	3
Chchd3	0	0	1	0
Chd3	0	0	0	1
Chdh	0	0	0	0
Chp1	0	0	3	1
Ciart	0	0	0	0
Cideb	4	1	0	0
Cisd3	1	0	0	0
Clmn	1	1	0	0
Clu	62	9	41	6
Cluh	4	0	1	0
Cmtm8	0	2	0	0
Coa6	0	0	2	0
Coasy	1	0	0	0
Col18a1	34	14	12	3
Col27a1	1	0	0	0
Col5a3	1	1	0	0
Comt	23	1	6	0
