Gene	WT-1_FPKM	WT-2_FPKM	Toluene-1_FPKM	Toluene-2_FPKM
Asp-Glu-Ala-Asp	1.0442857142857143	0.011428571428571429	0.05285714285714286	0.017142857142857144
Aspdh	0.0	0.0	0.0	0.0
Aspg	0.125	0.11	0.1	0.0
Ass1	1.87	0.31	0.62	0.22
At1g63990	0.0	0.55	0.17	0.2
Atf5	3.49	0.215	0.42000000000000004	0.0
Atp1b1	0.0	0.0	0.0	0.0
Atp2a2	0.32	0.0	0.79	0.0
Atp5a1	0.5266666666666667	0.2833333333333333	0.05666666666666667	0.13
Atp5b	0.0	0.0	0.48333333333333334	1.07
Atp5c1	1.0699999999999998	0.21	1.13	0.085
Atp5d	0.93	0.2	0.0	0.0
Atp5e	0.0	0.0	0.91	0.41
Atp5f1	0.36	0.0	0.38	0.0
Atp5g1	0.97	0.3	0.17	0.07
Atp5g2	0.0	0.0	1.065	2.71
Atp5h	0.62	0.0	0.52	0.0
Atp5j	0.0	0.27	0.0	0.0
Atp5o	0.99	0.0	0.0	0.0
Atp6v0c	0.38	0.0	0.0	0.0
Azgp1	0.8200000000000001	0.285	0.255	0.155
B	0.0	0.0	0.81	0.0
B2m	1.15	0.28	0.27	0.19
B3GALT4	2.55	0.0	0.0	0.0
B3GALT6	1.05	0.0	0.0	0.0
B3GNT3	1.8450000000000002	0.0	0.0	0.0
B3GNT4	2.5	0.0	0.0	0.0
B3GNT7	3.49	0.0	0.0	0.03
B3GNT8	2.67	0.0	0.0	0.0
BACE1	1.01	0.0	0.0	0.0
BAD	1.88	0.0	0.0	0.0
BAG1	1.74	0.0	0.0	0.045
BAG3	0.6	0.0	0.0	0.0
BAG6	1.5750000000000002	0.0	0.0	0.0
BAHD1	36.24	32.32	48.7	68.57
BAIAP2-AS1	1.06	0.0	0.0	0.0
BAIAP2L1	1.4249999999999998	0.0	0.0	0.0
BAM3	125.77	128.45	24.57	42.99
BANF1	1.38	0.0	0.0	0.0
BANK1	1.48	0.0	0.0	0.0
